Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX
2024-W34,2024.08.19,USDJPY,47,120,39.2,359.7,20.33,34.20,11,30,36.7,0,0.0,244.1,18.08,22.91
2024-W35,2024.08.26,USDJPY,40,120,33.3,280.6,17.61,33.34,5,30,16.7,0,0.0,121.2,16.50,21.38
2024-W36,2024.09.02,USDJPY,120,120,100.0,544.2,40.29,57.46,20,30,66.7,3,10.0,544.2,22.85,31.26
2024-W37,2024.09.09,USDJPY,74,120,61.7,351.3,22.31,37.03,25,30,83.3,3,10.0,351.3,23.83,31.99
2024-W38,2024.09.16,USDJPY,34,120,28.3,288.3,17.50,33.30,16,30,53.3,3,10.0,288.3,21.25,30.40
2024-W39,2024.09.23,USDJPY,49,120,40.8,399.9,18.69,25.64,5,30,16.7,0,0.0,442.9,13.66,21.19
2024-W40,2024.09.30,USDJPY,56,120,46.7,370.9,21.16,42.37,23,30,76.7,11,36.7,603.8,25.70,34.69
2024-W41,2024.10.07,USDJPY,26,120,21.7,122.0,16.19,31.12,14,30,46.7,3,10.0,220.2,21.68,32.32
2024-W42,2024.10.14,USDJPY,44,120,36.7,113.9,19.94,39.61,18,30,60.0,0,0.0,113.9,21.20,29.06
2024-W43,2024.10.21,USDJPY,105,120,87.5,410.4,28.72,48.47,17,30,56.7,0,0.0,176.2,21.47,29.69
2024-W44,2024.10.28,USDJPY,15,119,12.6,209.3,16.58,24.73,7,30,23.3,0,0.0,147.3,16.45,24.02
2024-W45,2024.11.04,USDJPY,58,120,48.3,257.2,19.25,29.01,1,30,3.3,0,0.0,38.5,12.62,20.21
2024-W46,2024.11.11,USDJPY,106,120,88.3,344.4,26.70,33.17,14,30,46.7,2,6.7,410.4,21.15,30.43
2024-W47,2024.11.18,USDJPY,50,120,41.7,261.0,19.34,34.63,7,30,23.3,0,0.0,152.0,17.74,25.79
2024-W48,2024.11.25,USDJPY,67,120,55.8,377.6,23.91,45.86,19,30,63.3,14,46.7,403.1,27.09,43.34
2024-W49,2024.12.02,USDJPY,49,120,40.8,174.9,19.89,38.85,23,30,76.7,16,53.3,258.4,29.80,43.09
2024-W50,2024.12.09,USDJPY,67,120,55.8,310.5,22.89,39.76,0,30,0.0,0,0.0,0.0,16.42,19.63
2024-W51,2024.12.16,USDJPY,37,120,30.8,449.8,19.74,36.63,27,30,90.0,4,13.3,476.7,24.13,31.53
2024-W52,2024.12.23,USDJPY,68,96,70.8,119.4,23.47,37.37,24,24,100.0,12,50.0,174.4,30.76,35.47
2025-W01,2024.12.30,USDJPY,26,94,27.7,147.2,17.67,28.24,13,24,54.2,3,12.5,204.6,21.44,31.53
2025-W02,2025.01.06,USDJPY,3,120,2.5,86.0,15.88,20.73,0,30,0.0,0,0.0,0.0,12.41,14.68
2025-W03,2025.01.13,USDJPY,34,120,28.3,202.3,17.22,36.59,12,30,40.0,6,20.0,155.1,20.02,32.46
2025-W04,2025.01.20,USDJPY,8,120,6.7,90.6,14.87,21.93,10,30,33.3,0,0.0,181.3,18.43,28.13
2025-W05,2025.01.27,USDJPY,50,120,41.7,218.9,17.59,26.02,0,30,0.0,0,0.0,0.0,10.80,13.65
2025-W06,2025.02.03,USDJPY,75,120,62.5,445.1,24.30,41.47,13,30,43.3,6,20.0,196.4,19.83,31.98
2025-W07,2025.02.10,USDJPY,53,120,44.2,241.8,20.65,33.62,23,30,76.7,2,6.7,357.5,22.92,30.95
2025-W08,2025.02.17,USDJPY,53,120,44.2,329.7,20.89,40.68,30,30,100.0,0,0.0,358.9,24.49,29.81
2025-W09,2025.02.24,USDJPY,19,120,15.8,214.4,13.83,25.99,21,30,70.0,4,13.3,174.3,23.65,31.51
2025-W10,2025.03.03,USDJPY,83,120,69.2,435.8,22.13,29.13,1,30,3.3,0,0.0,78.3,15.30,20.16
2025-W11,2025.03.10,USDJPY,70,119,58.8,265.2,21.89,31.53,12,30,40.0,0,0.0,161.3,19.10,24.30
2025-W12,2025.03.17,USDJPY,54,119,45.4,187.1,20.30,29.63,24,30,80.0,0,0.0,196.7,23.55,28.11
2025-W13,2025.03.24,USDJPY,88,119,73.9,171.3,24.11,39.84,30,30,100.0,0,0.0,184.0,26.14,29.34
2025-W14,2025.03.31,USDJPY,71,120,59.2,571.7,25.16,44.54,15,30,50.0,0,0.0,571.7,20.67,28.42
2025-W15,2025.04.07,USDJPY,90,120,75.0,622.6,28.11,43.76,30,30,100.0,8,26.7,622.6,28.39,38.50
2025-W16,2025.04.14,USDJPY,41,120,34.2,244.7,17.93,31.21,30,30,100.0,30,100.0,246.9,37.93,40.83
2025-W17,2025.04.21,USDJPY,77,120,64.2,414.5,26.93,50.02,30,30,100.0,20,66.7,414.5,36.46,49.22
