Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX,ADX_Score_v1,H4_Vel_Pos_Pct,ATR_Ratio,ATR_Phase,Score_Axis_A,Score_Axis_B,Score_Axis_C,ADX_Score_v3,Score_Band_v3
2024-W46,2024.11.11,XAUUSD,86,115,74.8,,30.52,,,30,0.0,,0.0,,29.98,,77.0,83.3,1.286,HIGH_CONT,28.0,8.0,14.0,50.0,WATCH
2024-W47,2024.11.18,XAUUSD,99,115,86.1,,40.75,,,30,0.0,,0.0,,30.81,,78.8,53.3,1.042,NORMAL_FALL,33.0,15.0,20.6,68.6,GOOD
2024-W48,2024.11.25,XAUUSD,43,109,39.4,,27.63,,,30,0.0,,0.0,,28.39,,55.9,23.3,0.917,NORMAL_FALL,22.0,15.0,11.4,48.4,WATCH
2024-W49,2024.12.02,XAUUSD,8,115,7.0,,22.42,,,30,0.0,,0.0,,16.36,,43.0,33.3,1.023,NORMAL_RISE,22.0,5.0,2.2,29.2,CAUTION
2024-W50,2024.12.09,XAUUSD,73,115,63.5,,30.4,,,30,0.0,,0.0,,19.04,,61.7,63.3,1.078,NORMAL_RISE,40.0,5.0,8.7,53.7,WATCH
2024-W51,2024.12.16,XAUUSD,48,115,41.7,,24.28,,,30,0.0,,0.0,,21.77,,57.0,60.0,1.291,HIGH_CONT,40.0,8.0,6.0,54.0,WATCH
2024-W52,2024.12.23,XAUUSD,20,89,22.5,,23.36,,,24,0.0,,0.0,,17.17,,44.6,33.3,0.613,BOTTOM,22.0,25.0,3.2,50.2,WATCH
2025-W01,2024.12.30,XAUUSD,31,90,34.4,,25.36,,,24,0.0,,0.0,,16.41,,49.4,45.8,0.776,BOTTOM_TURN,25.0,28.0,4.2,57.2,WATCH
2025-W02,2025.01.06,XAUUSD,54,115,47.0,,22.44,,,30,0.0,,0.0,,23.52,,58.6,66.7,0.883,BOTTOM_CONT,40.0,35.0,5.7,80.7,OPTIMAL
2025-W03,2025.01.13,XAUUSD,80,115,69.6,,30.51,,,30,0.0,,0.0,,32.47,,70.8,53.3,0.985,NORMAL_FLAT,33.0,32.0,15.2,80.2,OPTIMAL
2025-W04,2025.01.20,XAUUSD,69,113,61.1,,29.22,,,30,0.0,,0.0,,34.64,,69.6,46.7,0.963,NORMAL_FLAT,25.0,32.0,15.4,72.4,GOOD
2025-W05,2025.01.27,XAUUSD,90,115,78.3,,29.07,,,30,0.0,,0.0,,22.99,,54.5,30.0,1.015,NORMAL_FLAT,22.0,32.0,9.7,63.7,GOOD
2025-W06,2025.02.03,XAUUSD,90,115,78.3,,28.92,,,30,0.0,,0.0,,34.26,,76.4,73.3,1.365,PEAK_CONT,40.0,18.0,15.0,73.0,GOOD
2025-W07,2025.02.10,XAUUSD,94,115,81.7,,30.48,,,30,0.0,,0.0,,36.18,,71.3,43.3,1.415,PEAK_CONT,25.0,18.0,17.0,60.0,WATCH
2025-W08,2025.02.17,XAUUSD,62,113,54.9,,26.94,,,30,0.0,,0.0,,24.59,,57.5,43.3,1.391,PEAK_CONT,25.0,18.0,9.1,52.1,WATCH
2025-W09,2025.02.24,XAUUSD,37,115,32.2,,29.07,,,30,0.0,,0.0,,21.01,,54.6,36.7,1.352,PEAK_CONT,22.0,18.0,8.8,48.8,WATCH
2025-W10,2025.03.03,XAUUSD,15,115,13.0,,23.49,,,30,0.0,,0.0,,18.98,,40.7,13.3,1.12,HIGH_CONT,10.0,8.0,4.2,22.2,CAUTION
